LOG	TIMESTAMP
[BlueBubblesServer] New Message from You, "hey"; Date: 11/12/2025, 10:25:32 AM	11/12/2025, 10:25:32 AM
Request to /api/v1/message/text took 31 ms	11/12/2025, 10:25:31 AM
[WebhookService] Dispatching event to webhook: https://8bb41dbe-f08e-48eb-a4e6-b7cff9250c1a-00-2vhiuc4jpu1u6.worf.replit.dev/api/imessage/webhook/dls-insurance-group	11/12/2025, 10:25:31 AM
Adding await for chat: "iMessage;-;+13053936666"; text: hey; tempGuid: N/A	11/12/2025, 10:25:31 AM
Sending message "hey" to iMessage;-;+13053936666	11/12/2025, 10:25:31 AM
Request to /api/v1/message/text (URL Params: {})	11/12/2025, 10:25:31 AM
[WebhookService] Dispatching event to webhook: https://8bb41dbe-f08e-48eb-a4e6-b7cff9250c1a-00-2vhiuc4jpu1u6.worf.replit.dev/api/imessage/webhook/dls-insurance-group	11/12/2025, 10:25:25 AM
Request to /api/v1/chat/iMessage%3B-%3B%2B13053936666/read took 1 ms	11/12/2025, 10:25:25 AM
Request to /api/v1/chat/iMessage%3B-%3B%2B13053936666/read (URL Params: {})	11/12/2025, 10:25:25 AM
[WebhookService] Dispatching event to webhook: https://8bb41dbe-f08e-48eb-a4e6-b7cff9250c1a-00-2vhiuc4jpu1u6.worf.replit.dev/api/imessage/webhook/dls-insurance-group	11/12/2025, 10:24:19 AM
[BlueBubblesServer] Chat read [iMessage;-;+13053936666]	11/12/2025, 10:24:19 AM
[WebhookService] Dispatching event to webhook: https://8bb41dbe-f08e-48eb-a4e6-b7cff9250c1a-00-2vhiuc4jpu1u6.worf.replit.dev/api/imessage/webhook/dls-insurance-group	11/12/2025, 10:24:19 AM
[BlueBubblesServer] Read message from [+*******6666]: ["En la manana te..."; Date: 11/12/2025, 10:24:09 AM] - [11/12/2025, 10:24:19 AM]	11/12/2025, 10:24:19 AM
[WebhookService] Dispatching event to webhook: https://8bb41dbe-f08e-48eb-a4e6-b7cff9250c1a-00-2vhiuc4jpu1u6.worf.replit.dev/api/imessage/webhook/dls-insurance-group	11/12/2025, 10:24:19 AM
[BlueBubblesServer] Read message from [+*******6666]: ["Manana"; Date: 11/12/2025, 10:24:05 AM] - [11/12/2025, 10:24:19 AM
